match_key,scheduled_date,scheduled_time,comp_level,match_number,set_number,red1,red2,red3,blue1,blue2,blue3,red_score,blue_score
2025miket_qm1,2025-02-28,11:00 AM,qm,1,1,4998,5260,3534,2137,9776,9207,36,111
2025miket_qm2,2025-02-28,11:08 AM,qm,2,1,6067,573,8193,5084,8385,5234,55,31
2025miket_qm3,2025-02-28,11:16 AM,qm,3,1,5235,1498,2145,910,7784,7195,68,86
2025miket_qm4,2025-02-28,11:24 AM,qm,4,1,245,9648,10668,494,27,10667,40,108
2025miket_qm5,2025-02-28,11:32 AM,qm,5,1,5641,5150,9245,6631,10659,1,91,27
2025miket_qm6,2025-02-28,11:40 AM,qm,6,1,70,5697,894,9697,5282,1504,69,10
2025miket_qm7,2025-02-28,11:48 AM,qm,7,1,5460,9757,2145,7491,4994,5260,107,16
2025miket_qm8,2025-02-28,11:56 AM,qm,8,1,10667,4998,910,9648,7784,573,67,83
2025miket_qm9,2025-02-28,12:04 PM,qm,9,1,5641,245,3534,5084,9245,1498,41,73
2025miket_qm10,2025-02-28,12:12 PM,qm,10,1,9697,2137,7195,9776,6631,8193,73,82
2025miket_qm11,2025-02-28,12:20 PM,qm,11,1,9207,10668,1,10659,9757,5234,26,40
2025miket_qm12,2025-02-28,12:28 PM,qm,12,1,494,4994,5235,5697,27,1504,86,45
2025miket_qm13,2025-02-28,12:36 PM,qm,13,1,70,5150,8385,894,5282,7491,68,34
2025miket_qm14,2025-02-28,12:44 PM,qm,14,1,9776,5460,4998,3534,6067,2145,102,58
2025miket_qm15,2025-02-28,12:52 PM,qm,15,1,9697,9207,910,10659,9245,10667,82,64
2025miket_qm16,2025-02-28,02:00 PM,qm,16,1,5235,1,5697,5260,8193,494,26,80
2025miket_qm17,2025-02-28,02:08 PM,qm,17,1,2137,70,5282,4994,7195,9757,111,52
2025miket_qm18,2025-02-28,02:16 PM,qm,18,1,7784,6067,5460,5234,5150,245,95,47
2025miket_qm19,2025-02-28,02:24 PM,qm,19,1,894,1504,5084,9648,1498,8385,36,37
2025miket_qm20,2025-02-28,02:32 PM,qm,20,1,27,10668,573,5641,6631,7491,103,40
2025miket_qm21,2025-02-28,02:40 PM,qm,21,1,9245,7195,494,9757,9776,70,107,93
2025miket_qm22,2025-02-28,02:48 PM,qm,22,1,4994,9207,5282,3534,9697,10667,34,40
2025miket_qm23,2025-02-28,02:56 PM,qm,23,1,1,5084,9648,8385,7784,5697,50,31
2025miket_qm24,2025-02-28,03:04 PM,qm,24,1,1498,10668,7491,573,2137,2145,71,141
2025miket_qm25,2025-02-28,03:12 PM,qm,25,1,6631,5234,1504,27,245,5260,46,97
