team_number,team_name,city,state_prov,country,robot_image_url
1,The Juggernauts,Pontiac,Michigan,USA,https://i.imgur.com/lQ7r6Xmm.jpg
27,Team RUSH,Clarkston,Michigan,USA,https://i.imgur.com/B9HFcl5m.jpg
70,More Martians,Goodrich,Michigan,USA,https://i.imgur.com/2uYddbTm.jpg
245,Adambots,Rochester Hills,Michigan,USA,
494,Martians,Goodrich,Michigan,USA,https://i.imgur.com/09j39M8m.jpg
573,Mech Warriors,Bloomfield Hills,Michigan,USA,https://i.imgur.com/GuVQClYm.jpg
894,The Power Chargers,Flint,Michigan,USA,https://i.imgur.com/EuKYh9Sm.jpg
910,The Foley Freeze,Madison Heights,Michigan,USA,https://i.imgur.com/NuiivUHm.jpg
1498,The Polar Pilots,Richmond,Michigan,USA,https://i.imgur.com/3FXiyU1m.jpg
1504,Desperate Penguins,Okemos,Michigan,USA,https://i.imgur.com/mICYCu7m.jpg
2137,The Oxford RoboCats,Oxford,Michigan,USA,https://i.imgur.com/PmRbXe8m.jpg
2145,HAZMATS,Linden,Michigan,USA,https://i.imgur.com/rmcdKH1m.jpg
3534,House of Cards,Davison,Michigan,USA,https://i.imgur.com/G1NarEvm.jpg
4994,Kingston Robo-Cards,Kingston,Michigan,USA,https://i.imgur.com/qvgi8wum.jpg
4998,TESLA,Flint,Michigan,USA,https://i.imgur.com/EO9WDpPm.jpg
5084,Team FridgeBot,Corunna,Michigan,USA,
5150,Hybrid Hornets,Flint,Michigan,USA,
5234,MarauderBots,Elsie,Michigan,USA,https://i.imgur.com/wmsQCC4m.jpg
5235,Gears of Fortune,Chesaning,Michigan,USA,https://i.imgur.com/NyXCCY6m.jpg
5260,Owosso Robotics,Owosso,Michigan,USA,https://i.imgur.com/mPpiFLnm.jpg
5282,Railroader Robotics,Durand,Michigan,USA,https://i.imgur.com/15lrsxZm.jpg
5460,Strike Zone,Lapeer,Michigan,USA,https://i.imgur.com/g2w3cMGm.jpg
5641,Byron Robotics,Byron,Michigan,USA,https://i.imgur.com/lzBofLom.jpg
5697,Bearcats,Bridgeport,Michigan,USA,https://i.imgur.com/Eou85vtm.jpg
6067,The Underdogs,Saint Charles,Michigan,USA,https://i.imgur.com/RHwrcb9m.jpg
6631,Rocket Robotics,Reese,Michigan,USA,https://i.imgur.com/DtadjXAm.jpg
7195,Twin River Robotics,Portland,Michigan,USA,https://i.imgur.com/QviDA9Tm.jpg
7491,Cyber Soldiers,Burton,Michigan,USA,
7784,Vassar Voltage,Vassar,Michigan,USA,https://i.imgur.com/VWAGzBwm.jpg
8193,Steel Stingers,New Lothrop,Michigan,USA,
8385,Metal Madness,Mount Morris,Michigan,USA,
9207,Redneck Robotics,Millington,Michigan,USA,
9245,Laker Dreadnoughts,Pigeon,Michigan,USA,https://i.imgur.com/AGsNQGtm.jpg
9648,Circuit Breakers,Caro,Michigan,USA,
9697,Bionic Bucs,Mount Morris,Michigan,USA,https://i.imgur.com/i4n0Ngxm.jpg
9757,Mecha Marauders,Marlette,Michigan,USA,
9776,Gator Gears,Swartz Creek,Michigan,USA,https://i.imgur.com/QdiTok4m.jpg
10659,Jaguar Byte,Flint,Michigan,USA,
10667,Genesee Wolves,Genesee,Michigan,USA,
10668,WAY Flint,Flint,Michigan,USA,
