team_number,team_name,city,state_prov,country,robot_image_url
27,Team RUSH,Clarkston,Michigan,USA,
66,Grizzly Robotics,Ypsilanti,Michigan,USA,
240,TEMPEST,Newport,Michigan,USA,
302,The Dragons,Lake Orion,Michigan,USA,
503,Frog Force,Novi,Michigan,USA,
1076,PiHi Samurai,Ann Arbor,Michigan,USA,
1502,Technical Difficulties,Chelsea,Michigan,USA,
2611,Jacktown Vectors,Jackson,Michigan,USA,
3641,The Flying Toasters,South Lyon,Michigan,USA,
3656,Dexter Dreadbots,Dexter,Michigan,USA,
3668,TroBots,Whitmore Lake,Michigan,USA,
4216,Blue Ops Robotics,Jackson,Michigan,USA,
5046,Jacked Up Jackets,Memphis,Michigan,USA,
5144,LISD TECHnicians,Adrian,Michigan,USA,
5205,FullMetal-Jackets,Concord,Michigan,USA,
5260,Owosso Robotics,Owosso,Michigan,USA,
5314,Ice Bots,Pellston,Michigan,USA,
5460,Strike Zone,Lapeer,Michigan,USA,
5530,Greenhills Lawnmowers,Ann Arbor,Michigan,USA,
5567,Code Red Robotics,Milan,Michigan,USA,
5708,Zebrotics,Ann Arbor,Michigan,USA,
6081,Digital Dislocators,Manchester,Michigan,USA,
6570,Whiteford Bobcats,Ottawa Lake,Michigan,USA,
6591,Panther Powered Robotics 6591,Stockbridge,Michigan,USA,
7056,The F.A.S.T. Team - Fowlerville Area Scientific Technicians,Fowlerville,Michigan,USA,
7197,Mountie Megabots,Jackson,Michigan,USA,
7501,Golden Gears,Brooklyn,Michigan,USA,
8124,RHS BearBots,Wyandotte,Michigan,USA,
8300,Titan Robotics,Jackson,Michigan,USA,
8373,The Flying Octopi,Blissfield,Michigan,USA,
8374,Bongo Bots,Leslie,Michigan,USA,
8832,AutoDawgs,Petersburg,Michigan,USA,
9204,Aluminum Armada,Pinckney,Michigan,USA,
9210,Fighting Falcons,Jackson,Michigan,USA,
9618,Tronarchs,Allen Park,Michigan,USA,
10285,Sacred Heart Outlanders,Bloomfield Hills,Michigan,USA,
10607,DAAS Jaguars,Detroit,Michigan,USA,
11387,G.L.E.A.M. - Grass Lake Engineering and Mechanics,Grass Lake,Michigan,USA,
11437,Addison Panthers,Addison,Michigan,USA,
11505,Kensington Woods Robotics,Lakeland,Michigan,USA,
